Crop,State,Cost of Production C2 - 2013-14,Cost of Production C2 - 2014-15,Cost of Production C2 - 2015-16,Cost of Production C2 - 2016-17,Cost of Production C2 - 2017-18
Potato,West Bengal,738.06,565.97,640.9,469.12,597.66
R & M,Assam,3658.13,4353.3,4286.74,4573.9,3491.8
R & M,Bihar,2519.71,2307.82,2547.02,2512.95,2868.65
R & M,Chhattisgarh,NA,NA,NA,NA,3651.67
R & M,Gujarat,2116.37,2068.79,2799.19,2508.27,2896.76
R & M,Haryana,2538.45,2930.17,2983.49,2600.06,2508.99
R & M,Madhya Pradesh,1907.18,2216.82,2234.99,1945.19,2454.85
R & M,Odisha,NA,NA,NA,NA,4760.16
R & M,Punjab,NA,NA,NA,NA,3396.19
R & M,Rajasthan,2377.46,2610.63,3022.78,2412.28,2452.02
R & M,Uttar Pradesh,2862.76,3849.39,3476.15,2819.04,3034.54
R & M,West Bengal,3006.71,3113.76,3530.79,3799.65,3362.92
Ragi,Andhra Pradesh,2251.3,NA,NA,NA,NA
Ragi,Karnataka,1691.02,3240.98,2919.09,2186.14,2709.79
Ragi,Maharashtra,2054.63,NA,NA,NA,3982.18
Ragi,Odisha,NA,NA,NA,NA,3802.76
Ragi,Tamil Nadu,1824.02,NA,NA,NA,4758.17
Ragi,Uttarakhand,695.71,905.79,1274.74,1482,4088.38
Safflower,Karnataka,NA,2113.43,3425.33,NA,4041.84
Safflower,Maharashtra,2884.68,6972.54,4783.36,NA,5090.49
Sesamum,Andhra Pradesh,8214.63,7177.67,9155.86,7800.68,NA
Sesamum,Gujarat,6307.23,6903.85,6160.14,5557.2,6480.07
Sesamum,Karnataka,NA,NA,NA,NA,16463.37
Sesamum,Madhya Pradesh,5692.75,5289.28,6023.24,5376.56,5820.69
Sesamum,Odisha,5590.06,5701.6,5283.25,4569.8,4718.79
Sesamum,Rajasthan,6860.24,7863.26,8066.09,7703.96,9445.59
Sesamum,Tamil Nadu,6272.4,NA,NA,NA,9993.55
Sesamum,Uttar Pradesh,NA,6973.32,6484.48,5599.17,6697.51
Sesamum,West Bengal,3260.95,3375.65,3866.22,4857.77,4909.12
Soyabean,Andhra Pradesh,NA,3854.21,5928.34,3145.02,NA
Soyabean,Chhattisgarh,3484.13,2510.75,4904.62,2495.31,3828.27
Soyabean,Karnataka,NA,NA,NA,NA,3131.21
Soyabean,Madhya Pradesh,2989.38,2661.81,5845.28,2519.01,3298.96
Soyabean,Maharashtra,2949.75,4521.97,4709.72,3079.08,3495.22
Soyabean,Rajasthan,3534.21,3916.13,4530.73,3363.61,2312.15
Soyabean,Telangana,NA,NA,NA,NA,3039.17
Sugarcane,Andhra Pradesh,147.79,218.45,213.77,235.79,239.67
Sugarcane,Bihar,NA,NA,NA,NA,128.98
Sugarcane,Haryana,198.23,NA,NA,NA,140.26
Sugarcane,Karnataka,130.46,143.45,138.19,143.48,129.28
Sugarcane,Maharashtra,152.53,182.74,189.37,183.1,193.48
Sugarcane,Punjab,NA,NA,NA,NA,190.78
Sugarcane,Tamil Nadu,161.29,171.05,170.23,188.89,242.1
Sugarcane,Uttar Pradesh,165.24,173.25,176.28,171.94,199.05
Sugarcane,Uttarakhand,160.13,148.79,189.36,198.72,193.31
Sunflower,Andhra Pradesh,4288.78,7923.19,4793.03,4465.41,NA
Sunflower,Karnataka,4042.78,3159.53,6534.37,2422.65,3504.81
Sunflower,Maharashtra,5214.95,NA,NA,NA,NA
Urad,Andhra Pradesh,3148.6,3394.44,4898.37,6435.08,4138.44
Urad,Chhattisgarh,2594.05,3394.59,11176.81,4705.82,10724.2
Urad,Gujarat,NA,NA,NA,NA,4269.99
Urad,Karnataka,NA,NA,NA,NA,5037.47
Urad,Madhya Pradesh,4362.77,3482.43,6259.63,4212.45,3964.77
Urad,Maharashtra,4874.5,6107.01,9643.64,5773.25,5641.7
Urad,Odisha,4874.03,5574.98,7631.26,6294.08,4837.97
Urad,Rajasthan,5392.99,NA,NA,NA,4482.21
Urad,Tamil Nadu,4404.39,4446.77,6249.98,6860.81,6302.92
Urad,Telangana,NA,NA,NA,NA,11885.74
Urad,Uttar Pradesh,4700.41,4756.45,11257.55,5599.5,5820.65
Wheat,Bihar,908.89,1230.82,1302.87,1135.36,1274.59
Wheat,Chhattisgarh,1821.47,NA,NA,NA,2114.84
